Disease,Diet_1,Diet_2,Diet_3,Diet_4,Diet_5
osteoporosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
otitis externa (swimmer's ear),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
otitis media,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
otosclerosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
ovarian cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
ovarian cyst,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
ovarian torsion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
overflow incontinence,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pain after an operation,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pain disorder affecting the neck,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pancreatic cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
panic attack,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
panic disorder,Avoid caffeine and alcohol,Eat balanced meals regularly,Magnesium-rich foods,Chamomile tea,"Omega-3 fatty acids (fish, walnuts)"
parasitic disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
parathyroid adenoma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
parkinson disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
paronychia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
paroxysmal supraventricular tachycardia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
paroxysmal ventricular tachycardia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pelvic inflammatory disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pelvic organ prolapse,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pemphigus,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pericarditis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
peripheral arterial disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
peripheral arterial embolism,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
peripheral nerve disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
perirectal infection,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
peritonitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
peritonsillar abscess,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
persistent vomiting of unknown cause,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
personality disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
peyronie disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pharyngitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
phimosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pilonidal cyst,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pinguecula,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pinworm infection,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pituitary adenoma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pituitary disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pityriasis rosea,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
placenta previa,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
placental abruption,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
plantar fasciitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pleural effusion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pneumoconiosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pneumonia,High-protein foods like chicken broth and eggs,"Vitamin C-rich fruits (oranges, kiwi)",Stay well-hydrated,Warm herbal teas with honey,Avoid alcohol and smoking
pneumothorax,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
poisoning due to analgesics,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
poisoning due to anticonvulsants,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
poisoning due to antidepressants,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
poisoning due to antihypertensives,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
poisoning due to antimicrobial drugs,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
poisoning due to antipsychotics,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
poisoning due to ethylene glycol,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
poisoning due to gas,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
poisoning due to opioids,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
poisoning due to sedatives,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
polycystic kidney disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
polycystic ovarian syndrome (pcos),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
polycythemia vera,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
polymyalgia rheumatica,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
post-traumatic stress disorder (ptsd),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
postoperative infection,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
postpartum depression,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
preeclampsia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pregnancy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
premature atrial contractions (pacs),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
premature ovarian failure,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
premature rupture of amniotic membrane,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
premature ventricular contractions (pvcs),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
premenstrual tension syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
presbyacusis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
presbyopia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
priapism,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
primary immunodeficiency,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
primary insomnia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
primary kidney disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
problem during pregnancy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
prostate cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
prostatitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
protein deficiency,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pseudohypoparathyroidism,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pseudotumor cerebri,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
psoriasis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
psychosexual disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
psychotic disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pterygium,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pulmonary congestion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pulmonary embolism,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pulmonary eosinophilia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pulmonary fibrosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pulmonary hypertension,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pulmonic valve disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pyelonephritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pyloric stenosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
pyogenic skin infection,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
raynaud disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
reactive arthritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
rectal disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
restless leg syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
retinal detachment,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
retinopathy due to high blood pressure,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
rhabdomyolysis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
rheumatoid arthritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
rosacea,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
rotator cuff injury,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
salivary gland disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sarcoidosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
scabies,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
scar,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
scarlet fever,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
schizophrenia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sciatica,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
scleritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
scleroderma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
scoliosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
seasonal allergies (hay fever),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sebaceous cyst,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
seborrheic dermatitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
seborrheic keratosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sensorineural hearing loss,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sepsis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
septic arthritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
shingles (herpes zoster),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sialoadenitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sick sinus syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sickle cell anemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sickle cell crisis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sinus bradycardia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sjogren syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
skin cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
skin disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
skin pigmentation disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
skin polyp,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
smoking or tobacco addiction,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
social phobia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
soft tissue sarcoma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
somatization disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
spermatocele,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
spina bifida,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
spinal stenosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
spinocerebellar ataxia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
spondylitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
spondylolisthesis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
spondylosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
spontaneous abortion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
sprain or strain,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
stenosis of the tear duct,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
stomach cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
strep throat,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
stress incontinence,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
stricture of the esophagus,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
stroke,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
stye,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
subacute thyroiditis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
subarachnoid hemorrhage,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
subconjunctival hemorrhage,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
